Step,Value
0,0.59375
10,0.5826704561710357
20,0.5718323907256126
30,0.5648377749174833
40,0.5570557088576257
50,0.550335586595945
60,0.5450137351444866
70,0.5414306869425157
80,0.5391512689759446
90,0.5371418983841534
100,0.5355155351200607
110,0.5348334779414605
120,0.5345671365223438
130,0.5352146010724498
140,0.5357834710636362
150,0.5366866421565246
160,0.5546211458330459
170,0.5664279727659961
180,0.5776512789968639
190,0.5877000116315872
200,0.5971491743680122
210,0.6063552069786031
220,0.6154980771645321
230,0.6247983670203637
240,0.6329903773042995
250,0.6399332638420088
260,0.6470682742657075
270,0.653173793762181
280,0.6594477236249702
290,0.6657041737419226
300,0.6717213903501212
310,0.6780801134744677
320,0.7076180964532977
330,0.7300115676075183
340,0.7490119897969036
350,0.7664678870737899
360,0.7815997453764375
370,0.7955303365389508
380,0.8078583924214047
390,0.8184043130282562
400,0.8274203535768787
410,0.8356936630929896
420,0.8432667899853568
430,0.8497599613087965
440,0.8555081728801086
450,0.8607251104860715
460,0.8653831232167115
470,0.8808881547342047
480,0.8882981966283677
490,0.8940480327402298
500,0.900139687401606
510,0.9043265802176499
520,0.9079759457841464
530,0.9112140733266578
540,0.9138084996268153
550,0.9158938493575901
560,0.9181267083991878
570,0.9200769953045165
580,0.9219022788898128
590,0.9235559621007821
600,0.9246959736713611
610,0.9257643057061749
620,0.926513627984175
630,0.9274919434838907
640,0.9314747675046726
650,0.9335938344615294
660,0.9357000264212445
670,0.937964700836163
680,0.9395397352193674
690,0.9404930988910445
700,0.9411399147876354
710,0.9417792761994415
720,0.9423938298197648
730,0.9427549638724578
740,0.9428481289366697
750,0.9431162808663489
760,0.9433687253969725
770,0.9435088272443556
780,0.9472950031577023
790,0.9479564369406006
800,0.9501826176626331
810,0.952211672876817
820,0.9543494299971667
830,0.9558661340211894
840,0.956799734111111
850,0.9575359396181091
860,0.9580027665928351
870,0.958275562057897
880,0.958268757363661
890,0.9581095241958184
900,0.9580397917763532
910,0.9579645511354724
920,0.9578203985411784
930,0.9574730818391872
940,0.9601021231395879
950,0.9626493034765569
960,0.9631894083127012
970,0.9633538567631379
980,0.963850774076342
990,0.9643299719201976
1000,0.964704513493313
1010,0.9651863365885254
1020,0.9656657398829004
1030,0.9661283789004653
1040,0.9665216220653956
1050,0.9668558787555863
1060,0.9669149953686857
1070,0.9668430251657083
1080,0.96683812323831
1090,0.9668527231224289
1100,0.9707831519610408
1110,0.9729452839594797
1120,0.9739323709842025
1130,0.9745973195901503
1140,0.9753464986215374
1150,0.976025456183234
1160,0.9766325035632822
1170,0.9771115240554012
1180,0.9772793490226068
1190,0.9772783590112873
1200,0.97720322925265
1210,0.9770381870930698
1220,0.9767760663832734
1230,0.9762803400719845
1240,0.9757799816519004
1250,0.973162981423883
1260,0.9743039167624475
1270,0.9755088700052597
1280,0.9767677646097563
1290,0.9777453335160484
1300,0.9781649056304793
1310,0.9783895772442128
1320,0.9785489516936909
1330,0.9783780580620662
1340,0.9779923205556067
1350,0.9776526955996309
1360,0.9774373102187316
1370,0.9772775052785199
1380,0.9772671805798434
1390,0.9772680158349384
1400,0.9770932556880149
1410,0.9778506971834835
1420,0.9781400059484369
1430,0.9786412289340781
1440,0.9788045013953809
1450,0.9783934033173451
1460,0.9783449227431824
1470,0.9783749000823994
1480,0.978513954491121
1490,0.9787196175745101
1500,0.9788672157145863
1510,0.9790581647370982
1520,0.979194632792723
1530,0.9794364977683764
1540,0.979681153842332
1550,0.9799866366249758
1560,0.9829886411312294
1570,0.9829835292180986
1580,0.9804020729669451
1590,0.9786542620219034
1600,0.9771686227186178
1610,0.9760896500353125
1620,0.9757571464720857
1630,0.975762408877608
1640,0.9760994400773617
1650,0.9765938682620771
1660,0.9769952584083169
1670,0.9774476622997718
1680,0.9776538565894113
1690,0.9778569273023927
1700,0.9780533911872661
1710,0.9781169058656138
1720,0.9767118699857718
1730,0.9770800924681382
1740,0.9782680807436848
1750,0.9795189387834611
1760,0.9802994275243144
1770,0.9806976976522209
1780,0.9809247725356759
1790,0.9812860590395103
1800,0.9817218270749106
1810,0.9820457919262564
1820,0.9824621389557231
1830,0.9829732560825261
1840,0.9834647651667521
1850,0.984000609788483
1860,0.9843638812524158
1870,0.9842597001561291
1880,0.980891582439686
1890,0.9798104738293025
1900,0.9794445046616835
1910,0.9795230217286206
1920,0.9801073202870307
1930,0.9810255457932469
1940,0.9821054077623794
1950,0.9831875399755174
1960,0.9841293554113034
1970,0.9846160085514054
1980,0.9849884024051463
1990,0.9853099976151676
2000,0.985478613281654
2010,0.9855997189668275
2020,0.9855890404253541
2030,0.987750684361551
2040,0.9888669251101809
2050,0.9895178614947158
2060,0.9900958605665975
2070,0.9906003741274437
2080,0.9912143277796742
2090,0.9915649203977726
2100,0.9919312131646754
2110,0.99218144341379
2120,0.9923461633469577
2130,0.9923109823379942
2140,0.9922613463627223
2150,0.992316958065121
2160,0.9922711017151628
2170,0.9922175862448375
2180,0.9922207354851977
2190,0.9933876251624181
2200,0.993276539159738
2210,0.992722555305545
2220,0.992547284225709
2230,0.9925681144605814
2240,0.9924493404248483
