Step,Value
0,0.5520833134651184
10,0.54398672580719
20,0.5367190721631051
30,0.5295479064732791
40,0.5241248677887023
50,0.5206593275179342
60,0.5198173731658254
70,0.5212033210773652
80,0.5231413539044537
90,0.5256797652864065
100,0.5289068832208778
110,0.5410887074548557
120,0.5540430517262986
130,0.5667120551642533
140,0.5791292295098545
150,0.5917279302531685
160,0.613906237734961
170,0.631716136401461
180,0.6445212161796604
190,0.6552537477829772
200,0.6648129112815768
210,0.6755076402625962
220,0.6895661116710599
230,0.7021638072441618
240,0.7150210578614484
250,0.7278260423211167
260,0.743652132992717
270,0.7593770441095595
280,0.7747859621225278
290,0.7890620156677275
300,0.802333810515101
310,0.8142447708039094
320,0.8276983342856484
330,0.8398922667847842
340,0.8514623063857113
350,0.861202900146101
360,0.8696819075489601
370,0.8787385542455193
380,0.8863579185181305
390,0.8934505262640544
400,0.8994667348133836
410,0.9051384830809849
420,0.90874271181093
430,0.9131604730967322
440,0.9173739060661289
450,0.9214196055298973
460,0.924977495450878
470,0.9310225397867344
480,0.9362008907341982
490,0.9393848913165352
500,0.9422745045686323
510,0.94457432092874
520,0.9497631757696613
530,0.9523271087660514
540,0.9538232842361932
550,0.954146970846713
560,0.9545843781110559
570,0.955177358181812
580,0.9553035305766335
590,0.9563336626493792
600,0.9573879279129984
610,0.9588518502134373
620,0.9604641206607767
630,0.9632695055418924
640,0.966113634502059
650,0.968418813204657
660,0.9695664624249014
670,0.9701421273642592
680,0.9705583076635738
690,0.9713287242070614
700,0.9726919139070722
710,0.9737970524973572
720,0.9749497185006604
730,0.9781864293790495
740,0.9798959619919598
750,0.9810773301176349
760,0.9816903554245135
770,0.9821475545980192
780,0.9832629184280841
790,0.9836427964073178
800,0.9838642336633298
810,0.9837644397269208
820,0.9835701986345591
830,0.9833692236308257
840,0.9832596744129459
850,0.9828101992880295
860,0.9823714256518823
870,0.9820509678322753
880,0.9819690870512405
890,0.9831112210133222
900,0.9847254163574939
910,0.9857434576321642
920,0.9863194360071073
930,0.9867092841539384
940,0.986827893318987
950,0.9874495424557901
960,0.9877071126371424
970,0.9876314066310059
980,0.9878547502647272
990,0.9875932033982742
1000,0.9877715301223434
1010,0.9876356912604631
1020,0.9878804846613519
1030,0.9880995739904619
1040,0.9898846378918926
1050,0.9902655796554659
1060,0.9905352621172794
1070,0.9909973079523136
1080,0.9912425254162736
1090,0.9915757545054057
1100,0.9916241092470373
1110,0.9916469359933359
1120,0.9917684325434932
1130,0.9916810531943484
1140,0.9917490451137252
1150,0.9923170480440082
1160,0.9928261093610047
1170,0.9930920049018155
1180,0.9927768536206599
1190,0.9922313395765463
1200,0.9908966410242501
1210,0.9911163141201472
1220,0.9911363637834743
1230,0.9911266196699402
1240,0.9913117959689838
1250,0.9926150265736362
1260,0.9933621942890221
1270,0.9940181901960228
1280,0.9945366711688395
1290,0.9949564587654176
